Category,Symptom
Uncategorized,Hepatic cancer recurrent
Uncategorized,Drug level above therapeutic
Uncategorized,Acute haemorrhagic oedema of infancy
Uncategorized,ALK gene rearrangement assay
Uncategorized,Complement factor C1
Uncategorized,Osteosarcoma
Musculoskeletal Symptoms,Hodgkin's disease nodular sclerosis stage IV
Uncategorized,Oropharyngeal neoplasm
Uncategorized,Prolonged rupture of membranes
Uncategorized,Phrenic nerve paralysis
Uncategorized,Hypertensive nephropathy
Cardiovascular Findings,Procedural hypotension
General Symptoms,Computerised tomogram breast abnormal
Uncategorized,Ovarian cancer metastatic
Uncategorized,Persistent complex bereavement disorder
Uncategorized,Omentoplasty
Procedural and Device-Related Issues,Urethral dilation procedure
Laboratory Findings,Blood volume expansion
Cardiovascular Findings,Myocardial calcification
Uncategorized,Anaemia splenic
Uncategorized,Incision site oedema
Laboratory Findings,Residual urine volume increased
Uncategorized,Pyroglutamic acidosis
Uncategorized,Cervix carcinoma stage IV
Laboratory Findings,Blood gonadotrophin
Laboratory Findings,Blood growth hormone
Uncategorized,Growth hormone deficiency
Laboratory Findings,Water deprivation test
Respiratory Symptoms,Pulmonary toxicity
Uncategorized,Carcinoid tumour of the gastrointestinal tract
Uncategorized,Hyperparathyroidism tertiary
Laboratory Findings,Glycated albumin increased
Uncategorized,Meningitis cryptococcal
Gastrointestinal Symptoms,Gastric ischaemia
Uncategorized,Lambl's excrescences
Uncategorized,Thyroid gland injury
Gastrointestinal Symptoms,Gastric cancer stage IV
Uncategorized,Homicide
Uncategorized,Uterine haematoma
Uncategorized,Hydrophobia
Uncategorized,Bronchial haemorrhage
Uncategorized,Paget's disease of nipple
Uncategorized,Repetitive strain injury
General Symptoms,Biopsy ovary abnormal
Uncategorized,Large granular lymphocytosis
Uncategorized,Scalp haematoma
Respiratory Symptoms,Respiratory fume inhalation disorder
Procedural and Device-Related Issues,Arterial recanalisation procedure
Laboratory Findings,Endocrine test abnormal
Uncategorized,Insulin-like growth factor increased
Uncategorized,B-lymphocyte abnormalities
Infectious Symptoms,Viral load abnormal
Musculoskeletal Symptoms,Alien limb syndrome
Uncategorized,Diffuse cutaneous mastocytosis
Laboratory Findings,Blood elastase decreased
Uncategorized,Hepatic artery aneurysm
Uncategorized,Electrodesiccation
Uncategorized,Wound healing normal
Uncategorized,Mastoidectomy
Uncategorized,Enlarged cerebral perivascular spaces
Uncategorized,IVth nerve disorder
Uncategorized,Arterial insufficiency
Uncategorized,Agraphia
ENT Symptoms,Biopsy ear
Uncategorized,Chondrodermatitis nodularis chronica helicis
Uncategorized,Rosai-Dorfman syndrome
Laboratory Findings,BK polyomavirus test negative
Uncategorized,Hormone receptor positive HER2 negative breast cancer
Uncategorized,Periphlebitis
Allergic and Immune Reactions,Hereditary angioedema with normal C1 esterase inhibitor
Uncategorized,Brain lobectomy
Uncategorized,Anti-interferon antibody
Uncategorized,Coagulation factor XII level normal
Laboratory Findings,Liver operation
Laboratory Findings,Morganella test positive
Procedural and Device-Related Issues,Vaccination site abscess sterile
Procedural and Device-Related Issues,Lung neoplasm surgery
Uncategorized,Pyruvate dehydrogenase complex deficiency
General Symptoms,Cholecystogram intravenous abnormal
Uncategorized,Complications of transplanted heart
Uncategorized,Adulterated product
Uncategorized,Macular thickening
Uncategorized,Retinal depigmentation
General Symptoms,CSF cell count abnormal
Uncategorized,Plasmablastic lymphoma
Uncategorized,Anal cancer
Musculoskeletal Symptoms,Bone fissure
Uncategorized,Alcohol detoxification
Uncategorized,Immune-mediated pancreatitis
Dermatologic Symptoms,Skin hyperplasia
Cardiovascular Findings,Cardiac index increased
Musculoskeletal Symptoms,Osteoporotic fracture
Genitourinary Symptoms,Urinary retention postoperative
Laboratory Findings,Urine sodium abnormal
Uncategorized,Factor VIII activity normal
Infectious Symptoms,Shunt infection
Uncategorized,Prolactin-producing pituitary tumour
Uncategorized,Postmature baby
Uncategorized,Femoral hernia
Uncategorized,Gleason grading score
Uncategorized,Karnofsky scale
Uncategorized,Ureteral catheterisation
Uncategorized,Biopsy pharynx normal
Procedural and Device-Related Issues,Device power source issue
Uncategorized,Oophoritis
Respiratory Symptoms,Asthma-chronic obstructive pulmonary disease overlap syndrome
Uncategorized,Ovarian germ cell teratoma
Uncategorized,Infertility male
Procedural and Device-Related Issues,Plastic surgery
Uncategorized,Jugular vein haemorrhage
Uncategorized,Primary amyloidosis
Uncategorized,Tumour rupture
Ophthalmologic Symptoms,Eye abrasion
Uncategorized,Alport's syndrome
Uncategorized,Breast angiosarcoma
Musculoskeletal Symptoms,Greater trochanteric pain syndrome
Laboratory Findings,Blood immunoglobulin D
Dermatologic Symptoms,Skin perfusion pressure test
Uncategorized,Nutritional supplementation
Uncategorized,Cardioactive drug level decreased
Infectious Symptoms,Bacterial translocation
Uncategorized,Crime
Laboratory Findings,Liver-kidney microsomal antibody
Uncategorized,Acute cutaneous lupus erythematosus
Uncategorized,Granulocytosis
Uncategorized,Haemoglobinopathy
Uncategorized,Opsoclonus myoclonus
Uncategorized,Pituitary hyperplasia
Procedural and Device-Related Issues,Pituitary scan abnormal
Uncategorized,Sideroblastic anaemia
Uncategorized,Humoral immune defect
Cardiovascular Findings,Postinfarction angina
Uncategorized,Vascular purpura
Laboratory Findings,Model for end stage liver disease score increased
Laboratory Findings,Kidney rupture
Uncategorized,Aortic root compression
Laboratory Findings,Traumatic liver injury
Gastrointestinal Symptoms,Metastatic gastric cancer
Procedural and Device-Related Issues,Lymphoid tissue operation
Uncategorized,Anti-myelin-associated glycoprotein associated polyneuropathy
Infectious Symptoms,Eubacterium infection
Uncategorized,Post procedural haematoma
Procedural and Device-Related Issues,Medical device site scar
Uncategorized,Hypercalcaemia of malignancy
Laboratory Findings,Bilirubin excretion disorder
General Symptoms,CD4 lymphocytes abnormal
Uncategorized,Primary myelofibrosis
Gastrointestinal Symptoms,Metastases to abdominal cavity
Uncategorized,Metastatic uterine cancer
Laboratory Findings,Exercise test abnormal
Genitourinary Symptoms,Clear cell renal cell carcinoma
Uncategorized,Cerebellar ischaemia
Uncategorized,Graves' disease
Uncategorized,Radiotherapy to brain
Musculoskeletal Symptoms,Shoulder fracture
Uncategorized,Uterine cervical laceration
Uncategorized,FLT3 gene mutation
Uncategorized,Focal nodular hyperplasia
Uncategorized,NPM1 gene mutation
Uncategorized,Transfusion-related acute lung injury
Uncategorized,Transfusion-related circulatory overload
Uncategorized,Rest regimen
Procedural and Device-Related Issues,Medical device site induration
Uncategorized,Subclavian steal syndrome
Uncategorized,Diastema
Uncategorized,Cervix tumour excision
Uncategorized,Infective episcleritis
Musculoskeletal Symptoms,Computerised tomogram limb
Cardiovascular Findings,Cardiac neoplasm unspecified
Uncategorized,Pemphigoid antibody panel
Uncategorized,Nocardiosis
Uncategorized,Barbotage
Uncategorized,Calcific deposits removal
Infectious Symptoms,Bile culture positive
Uncategorized,Oesophagostomy
Uncategorized,Tracheal fistula repair
General Symptoms,Computerised tomogram heart abnormal
Procedural and Device-Related Issues,Medical device site discomfort
Musculoskeletal Symptoms,Torus fracture
Uncategorized,Computerised tomogram heart
Uncategorized,Carcinoma in situ
Uncategorized,Iridocorneal endothelial syndrome
Uncategorized,Ovarian epithelial cancer
Musculoskeletal Symptoms,Computerised tomogram spine normal
Neurological Symptoms,Procedural headache
Uncategorized,Periodontic-endodontic disease
Genitourinary Symptoms,Urinary squamous epithelial cells increased
Procedural and Device-Related Issues,Magnetic resonance imaging pelvic
Cardiovascular Findings,Acute right ventricular failure
Cardiovascular Findings,Chronic right ventricular failure
Uncategorized,Cystic fibrosis lung
Uncategorized,Pharyngeal exudate
Uncategorized,Dental root perforation
Uncategorized,Epilepsia partialis continua
General Symptoms,Cold exposure injury
Uncategorized,Hepatic hydrothorax
Genitourinary Symptoms,Klebsiella urinary tract infection
Uncategorized,Peripheral revascularisation
Uncategorized,Coeliac plexus block
Genitourinary Symptoms,Bladder ulcer
Uncategorized,Idiopathic partial epilepsy
Uncategorized,Exposure via inhalation
Respiratory Symptoms,Asthma late onset
Uncategorized,Ureteral neoplasm
General Symptoms,Dopamine transporter scintigraphy abnormal
Uncategorized,Parathyroid tumour benign
Uncategorized,Oral appliance
Procedural and Device-Related Issues,Peripheral nerve ultrasound
Genitourinary Symptoms,Ultrasound prostate abnormal
Uncategorized,Secondary immunodeficiency
Uncategorized,Scapholunate dissociation
Uncategorized,Steal syndrome
Uncategorized,Benign neoplasm of choroid
Uncategorized,Iris hypopigmentation
Uncategorized,Menstrual clots
Cardiovascular Findings,Electrocardiogram pacemaker spike
Infectious Symptoms,Pseudomonal sepsis
Uncategorized,Metastases to pleura
Ophthalmologic Symptoms,Diabetic eye disease
Musculoskeletal Symptoms,Post-thoracotomy pain syndrome
Psychiatric Symptoms,Adjustment disorder with mixed anxiety and depressed mood
Uncategorized,Lipoprotein deficiency
Laboratory Findings,Faecal fat test
Uncategorized,Dilated cardiomyopathy
Musculoskeletal Symptoms,Computerised tomogram spine abnormal
Uncategorized,Nasopharyngeal cancer
Uncategorized,Dextrocardia
Uncategorized,Antioestrogen therapy
Uncategorized,BRCA1 gene mutation assay
Genitourinary Symptoms,Bladder squamous cell carcinoma stage unspecified
Uncategorized,Anti-actin antibody
Neurological Symptoms,Congenital neuropathy
Uncategorized,Subclavian artery dissection
Uncategorized,Pleural adhesion
Infectious Symptoms,Asymptomatic HIV infection
Genitourinary Symptoms,Bladder polypectomy
Uncategorized,Urothelial papilloma
Uncategorized,Stoma prolapse
General Symptoms,Antithrombin III abnormal
Uncategorized,Cerebellar microhaemorrhage
Uncategorized,Rheumatoid vasculitis
Genitourinary Symptoms,Diabetic end stage renal disease
Uncategorized,Pyonephrosis
Genitourinary Symptoms,Urinary tract imaging abnormal
Uncategorized,Immunosuppressant drug level increased
Uncategorized,Incarcerated inguinal hernia
Uncategorized,Ovarian cancer stage I
Procedural and Device-Related Issues,Radioisotope scan abnormal
Uncategorized,Antineutrophil cytoplasmic antibody decreased
Infectious Symptoms,Hepatitis C core antibody
Uncategorized,Thiopurine methyltransferase polymorphism
Uncategorized,Hyperfibrinogenaemia
Uncategorized,Cochlear injury
General Symptoms,Alpha 1 foetoprotein abnormal
Uncategorized,Adult T-cell lymphoma/leukaemia
Procedural and Device-Related Issues,Ovarian neoplasm surgery
Uncategorized,Spinal stabilisation
Uncategorized,Pericardial calcification
Uncategorized,Diabetic dyslipidaemia
Uncategorized,Normal tension glaucoma
Laboratory Findings,Sapovirus test positive
Uncategorized,Malignant fibrous histiocytoma
Uncategorized,Reversible ischaemic neurological deficit
Uncategorized,Carbonic anhydrase gene mutation
Uncategorized,Sucrase-isomaltase deficiency
Uncategorized,Intestinal villi atrophy
General Symptoms,Computerised tomogram oesophagus abnormal
Uncategorized,Oesophagocardiomyotomy
Uncategorized,Diabetic ketoacidotic hyperglycaemic coma
Uncategorized,Splenic necrosis
Uncategorized,Oropharyngeal cancer
Uncategorized,Adrenoleukodystrophy
Uncategorized,Neonatal lupus erythematosus
Uncategorized,Ophthalmic artery occlusion
Uncategorized,Central nervous system leukaemia
Uncategorized,Asplenia
Cardiovascular Findings,Cardiac granuloma
Genitourinary Symptoms,Transitional cell cancer of the renal pelvis and ureter
Uncategorized,Follicular lymphoma stage II
Laboratory Findings,Parathyroid hormone-related protein
Uncategorized,Retinal infiltrates
Uncategorized,Exercise tolerance increased
Uncategorized,Vitreoretinal traction syndrome
Uncategorized,Hereditary non-polyposis colorectal cancer syndrome
Uncategorized,Legal problem
Genitourinary Symptoms,Urinary tract imaging
Laboratory Findings,Urine lactic acid increased
Psychiatric Symptoms,Central sleep apnoea syndrome
Dermatologic Symptoms,Vessel puncture site erythema
Musculoskeletal Symptoms,Vessel puncture site swelling
Respiratory Symptoms,Diffuse idiopathic pulmonary neuroendocrine cell hyperplasia
Cardiovascular Findings,Cardiac device implantation
Uncategorized,Nocturnal hypoventilation
Laboratory Findings,Schirmer's test
Uncategorized,Oesophagogastroscopy normal
Uncategorized,Cerebral septic infarct
Uncategorized,Gastroenteritis eosinophilic
Uncategorized,Anti-IA2 antibody negative
Uncategorized,Faecal lactoferrin increased
Uncategorized,Cataract diabetic
Uncategorized,Hyperkeratosis lenticularis perstans
Uncategorized,Ganglioneuroma
Psychiatric Symptoms,Advanced sleep phase
Uncategorized,Posterior cortical atrophy
Uncategorized,Asteatosis
Uncategorized,Metastases to breast
Uncategorized,CALR gene mutation
General Symptoms,Megakaryocytes abnormal
Laboratory Findings,Stool DNA test positive
Uncategorized,Metastases to vagina
Neurological Symptoms,Autonomic seizure
Uncategorized,Complement analysis
Uncategorized,Dyskinesia oesophageal
Uncategorized,Arm amputation
Uncategorized,Biopsy ovary
Uncategorized,Ovarian cancer stage II
Laboratory Findings,Misleading laboratory test result
Uncategorized,Hypopigmentation of eyelid
Genitourinary Symptoms,Penile pigmentation
Uncategorized,Military service
Uncategorized,Tricuspid valve thickening
Uncategorized,Mixed delusion
Uncategorized,Somatic delusion
Dermatologic Symptoms,Metastases to skin
Uncategorized,Acid-base balance disorder mixed
Infectious Symptoms,Device related sepsis
Uncategorized,Lactation insufficiency
Laboratory Findings,Anti-soluble liver antigen/liver pancreas antibody
Uncategorized,Rectal polyp
Uncategorized,Myxoedema
Uncategorized,Penetrating atherosclerotic ulcer
Uncategorized,Faecal lactoferrin
Uncategorized,Lymphatic malformation
Uncategorized,Mesenteric cyst
Uncategorized,Sarcoma uterus
Genitourinary Symptoms,Renal vessel disorder
Dermatologic Symptoms,Pharyngeal lesion
Uncategorized,Cerebellar syndrome
Cardiovascular Findings,Myocardial haemorrhage
Uncategorized,Biopsy rectum normal
Uncategorized,BRCA1 gene mutation
Uncategorized,Small intestine neuroendocrine tumour
